书名,作者,bookId,划线数,想法数,最后阅读,分类,进度,本地文件
诗翁彼豆故事集,【英】J.K.罗琳,25212238,37,4,2026-09-02,童书-儿童文学,60,童书/诗翁彼豆故事集.md
巨婴国 (武志红) (Z-Library),武志红,CB_CJ462w60NAIe6yC6wwGxj1Pw,22,1,2026-09-02,,49,未分类/巨婴国 (武志红) (Z-Library)-CB_CJ462w60NAIe6yC6wwGxj1Pw.md
未来简史：从智人到智神,尤瓦尔·赫拉利,852290,364,37,2026-09-02,社会文化-社科,76,社会文化/未来简史：从智人到智神.md
追忆似水年华（全集）,【法】普鲁斯特,26318970,32,5,2026-09-02,精品小说-社会小说,0,精品小说/追忆似水年华（全集）.md
摩登语言学,公众号,MP_WXS_3077337094,21,0,2026-09-02,,0,公众号/摩登语言学.md
胭脂与焉支,郑张尚芳,CB_11t8UL8SYAlD76775A69PDoQ,18,0,2026-09-02,,0,未分类/胭脂与焉支.md
开国之惑,张鸣,841493,12,1,2026-09-01,历史-历史读物,99,历史/开国之惑.md
翦商：殷周之变与华夏新生,李硕,3300053438,23,10,2026-09-01,历史-中国古代,3,历史/翦商：殷周之变与华夏新生.md
今日简史（精华版）,尤瓦尔·赫拉利,22614287,173,14,2026-09-01,社会文化-社科,0,社会文化/今日简史（精华版）.md
骆玉明精解世说新语（复旦知名教授骆玉明代表作！9分神作修订再版！）,骆玉明,3300143311,22,3,2026-09-01,文学-古典文学,76,文学/骆玉明精解世说新语（复旦知名教授骆玉明代表作！9分神作修订再版！）.md
每天十分钟，学会真正冥想,张长生,3300151748,165,4,2026-09-01,心理-心理学应用,97,心理/每天十分钟，学会真正冥想.md
奇特的一生,【俄罗斯】 达尼伊尔·格拉宁,3300083598,62,14,2026-09-01,人物传记-科学家,9,人物传记/奇特的一生.md
法学教书匠的日常,公众号,MP_WXS_3927666464,18,0,2026-09-01,,0,公众号/法学教书匠的日常.md
研究生论文写作与时间管理,谢立斌,CB_3TmBTGBVhB5k76075A7Gi2mb,47,0,2026-09-01,,99,未分类/研究生论文写作与时间管理-CB_3TmBTGBVhB5k76075A7Gi2mb.md
哈利·波特与被诅咒的孩子（第一部和第二部）,【英】J.K.罗琳 【英】约翰·蒂法尼 【英】杰克·索恩,23736659,99,20,2026-09-01,文学-外国文学,13,文学/哈利·波特与被诅咒的孩子（第一部和第二部）.md
从零开始学法语：超有效法语入门,Clara老师,3300207040,5,0,2026-08-27,教育学习-外语,6,教育学习/从零开始学法语：超有效法语入门.md
路易·波拿巴的雾月十八日,【德】马克思,3300159456,6,2,2026-08-27,历史-世界史,5,历史/路易·波拿巴的雾月十八日.md
突厥历法研究 (路易·巴赞) (Z-Library),（法）路易·巴赞,CB_ABS0j80hLGAO6ya6ww818FDU,1,0,2026-08-27,,0,未分类/突厥历法研究 (路易·巴赞) (Z-Library).md
维特根斯坦传：天才之为责任,瑞·蒙克,932993,9,3,2026-08-27,哲学宗教-哲学读物,0,哲学宗教/维特根斯坦传：天才之为责任.md
大猿取经,公众号,MP_WXS_3939255758,1,0,2026-08-26,,0,公众号/大猿取经.md
研究是一门艺术,韦恩·布斯 格雷戈里·卡洛姆 约瑟夫·威廉姆斯,3300014715,3,0,2026-08-26,社会文化-社科,0,社会文化/研究是一门艺术.md
小王子：新译与注释（中法英三语、作者手绘插图版）,【法】圣埃克苏佩里,3300201056,105,21,2026-08-26,教育学习-外语,30,教育学习/小王子：新译与注释（中法英三语、作者手绘插图版）.md
乡下人的悲歌 2025 修订版,J.D. 万斯,31681515,2,1,2026-08-26,精品小说-社会小说,0,精品小说/乡下人的悲歌 2025 修订版.md
潇湘晨报,公众号,MP_WXS_2940696320,1,0,2026-08-26,,0,公众号/潇湘晨报.md
卢克文工作室,公众号,MP_WXS_3203003417,8,0,2026-08-26,,0,公众号/卢克文工作室.md
刻意练习：如何从新手到大师,【美】安德斯·艾利克森 【英】罗伯特·普尔,843464,28,3,2026-08-26,个人成长-人生哲学,0,个人成长/刻意练习：如何从新手到大师.md
减压生活,金铂,3300070789,16,0,2026-08-25,个人成长-励志成长,0,个人成长/减压生活.md
中国新闻周刊,公众号,MP_WXS_2390553873,3,0,2026-08-25,,0,公众号/中国新闻周刊.md
北京青年报,公众号,MP_WXS_2397526740,3,0,2026-08-25,,0,公众号/北京青年报.md
贝伦与露西恩（插图本）,J.R.R.托尔金,24019338,34,0,2026-08-25,精品小说-玄幻小说,27,精品小说/贝伦与露西恩（插图本）.md
如果我们将在25岁死去（银河奖获奖作品）,【日】砂川雨路,3300131259,3,2,2026-08-25,精品小说-科幻小说,0,精品小说/如果我们将在25岁死去（银河奖获奖作品）.md
